SKU,Main Category Name,Sub Category Name,Item Name,Color Code,Size,Stock,Wholesale Value,Market Value,Retail Value,Desc,Weight(lb),Img Url
C9SNBY7851RBLGD,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Royal Blue,16 inch + 3,12,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsRoyal Blue,0.5,https://cdn.jropship.com/l/C9SNBY7851RBLGD.jpg
C9SNBY7851FUSGD,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Fucshia,16 inch + 3,12,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsFucshia,0.5,https://cdn.jropship.com/l/C9SNBY7851FUSGD.jpg
S7SCN2062ABOGD,Jewelry,Earrings,Glitter Lucite Bubble Bib Necklace  Set,Aurora Borealis,17 inch + 3,12,24.5,76.5,76.99,Glitter Lucite Bubble Bib Necklace  Set in Necklace SetsAurora Borealis,0.5,https://cdn.jropship.com/l/S7SCN2062ABOGD.jpg
C7SQNE1055PNKGD,Jewelry,Earrings,Wide Shoulder to Shoulder Pearl Bib Necklace ,Pink,14 inch + 3,12,20.5,64.5,64.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE1055PNKGD.jpg
C9EECH1915ABOSV,Jewelry,Earrings,Rhinestone Fringe Clip-on Earrings,Aurora Borealis,3 inch long,12,5.25,18.75,18.99,No Response,0.1,https://cdn.jropship.com/l/C9EECH1915ABOSV.jpg
F4BPB0166MLTGB,Jewelry,Earrings,Fresh Water Pearl Beaded Bracelet,Multi,7 inch long,12,12,39,38.99,No Response,0.4,https://cdn.jropship.com/l/F4BPB0166MLTGB.jpg
F4N00001RedBD,Jewelry,Earrings,Long Boho Lariat Necklace ,Red,52 inches,11,6,21,20.99,No Response,0.4,https://cdn.jropship.com/l/F4N00001RedBD.jpg
C7SQNE10593GLDGD,Jewelry,Earrings,Statement Glass Pearl Braided Bib Neckalce,Gold,14 inch + 3,11,11.25,36.75,36.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE10593GLDGD.jpg
C9SNPY043GLDGD,Jewelry,Earrings,Multi-Strand LayeRed Pearl Necklace  Set,Gold,17 inch + 3,11,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C9SNPY043GLDGD.jpg
C9EECQM002GLDGD,Jewelry,Earrings,Metal Hipnosis Clip-On Earrings,Gold,3 inch long,11,3.75,14.25,13.99,Metal Hipnosis Clip-On Earrings in EarringsGold,0.5,https://cdn.jropship.com/l/C9EECQM002GLDGD.jpg
G4SGNE2062ABBLUGD,Jewelry,Earrings,Crystal Statement Bib Necklace  Set,AB Blue,13 inch + 4,11,18,57,56.99,Crystal Statement Bib Necklace  Set in Necklace SetsAB Blue,0.5,https://cdn.jropship.com/l/G4SGNE2062ABBLUGD.jpg
C9SNBY7851RedGD,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Red,16 inch + 3,11,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsRed,0.5,https://cdn.jropship.com/l/C9SNBY7851RedGD.jpg
C9SNBY7851GRNGD,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Green,16 inch + 3,11,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsGreen,0.5,https://cdn.jropship.com/l/C9SNBY7851GRNGD.jpg
C9SNBY7851BLKRD,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Black,16 inch + 3,11,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsBlack,0.5,https://cdn.jropship.com/l/C9SNBY7851BLKRD.jpg
S7BCB0454BRNBD,Jewelry,Earrings,Statement Wood Beaded Fringe Stretch Bracelet,Brown,Stretch,11,15,48,47.99,Statement Wood Beaded Fringe Stretch Bracelet in BraceletsBrown,0.5,https://cdn.jropship.com/l/S7BCB0454BRNBD.jpg
C9EECQ36RedRD,Jewelry,Earrings,Pageant Crystal Clip-on Earrings,Red,3 1/4 inch long,11,5,18,17.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ36RedRD.jpg
C9EECQ150ABOGD,Jewelry,Earrings,Crystal Teardrop Clip-On Earrings,Aurora Borealis,3 3/4 inch long,11,7.5,25.5,25.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ150ABOGD.jpg
C7SQNE10551DMTGD,Jewelry,Earrings,Multi-Strand LayeRed Pearl Necklace  Set,Dark Multi,17 inch + 3,10,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE10551DMTGD.jpg
F4SJN4010BLKGD,Jewelry,Earrings,Statement Multi-Strand Crystal Beaded Necklace  Set,Black,23 inch + 3,10,30,93,92.99,No Response,0.5,https://cdn.jropship.com/l/F4SJN4010BLKGD.jpg
C9E236PURRD,Jewelry,Earrings,Statement Oval Rhinestone Post Earring,purple,2 1/2 inch long,10,5.25,18.75,18.99,No Response,0.1,https://cdn.jropship.com/l/C9E236PURRD.jpg
S7SCN2059MLTGD,Jewelry,Earrings,Glam Statement Bib Necklace  set,Multi,12 inch + 4,9,32,99,98.99,No Response,0.5,https://cdn.jropship.com/l/S7SCN2059MLTGD.jpg
C9EECQM002SILRD,Jewelry,Earrings,Metal Hipnosis Clip-On Earrings,Silver,3 inch long,9,3.75,14.25,13.99,Metal Hipnosis Clip-On Earrings in EarringsSilver,0.5,https://cdn.jropship.com/l/C9EECQM002SILRD.jpg
C9SNBY7851LCTRG,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Light Colorado Topaz,16 inch + 3,9,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsLight Colorado Topaz,0.5,https://cdn.jropship.com/l/C9SNBY7851LCTRG.jpg
C9E236BLURD,Jewelry,Earrings,Statement Oval Rhinestone Post Earring,Blue,2 1/2 inch long,9,5.25,18.75,18.99,No Response,0.1,https://cdn.jropship.com/l/C9E236BLURD.jpg
C9E992PURRD,Jewelry,Earrings,Over the Top Crystal Earrings,purple,4 inch wide,9,7.5,25.5,25.99,No Response,0.1,https://cdn.jropship.com/l/C9E992PURRD.jpg
L5EFE3421BRNGD,Jewelry,Earrings,Tear Drop Tortoise Drop Earrings,Brown,3 3/8 inch long,9,4.25,15.75,15.99,No Response,0.1,https://cdn.jropship.com/l/L5EFE3421BRNGD.jpg
B1BAB8125GTRQRS,Jewelry,Earrings,Wide Tortoise Cuff,Turquoise,2 1/4 inch wide,9,6.75,23.25,22.99,No Response,0.4,https://cdn.jropship.com/l/B1BAB8125GTRQRS.jpg
U1EFER1723MLTGD,Jewelry,Earrings,Multi Color Beaded Fashion Earrings,Multi,1 inch dia,9,3,12,11.99,Multi Color Beaded Fashion Earrings in EarringsMulti,0.5,https://cdn.jropship.com/l/U1EFER1723MLTGD.jpg
U1EJCE226SILRD,Jewelry,Earrings,Metalic Thread Ball Earrings,Silver,3 inch long,9,4.5,16.5,16.99,Metalic Thread Ball Earrings in EarringsSilver,0.5,https://cdn.jropship.com/l/U1EJCE226SILRD.jpg
C9SNBY7851LCTRG,Jewelry,Earrings,Crystal Statement Special Occasion Necklace  Set,Light Colorado Topaz,16 inch + 3,9,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsLight Colorado Topaz,0.5,https://cdn.jropship.com/l/C9SNBY7851LCTRG.jpg
F4N00001MLTBD,Jewelry,Earrings,Long Boho Lariat Necklace ,Multi,52 inches,8,6,21,20.99,No Response,0.4,https://cdn.jropship.com/l/F4N00001MLTBD.jpg
C9SNPY043OLVGD,Jewelry,Earrings,Multi-Strand LayeRed Pearl Necklace  Set,Olive,17 inch + 3,8,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C9SNPY043OLVGD.jpg
C7SQNE1055PNK2T,Jewelry,Earrings,AKA Wide Shoulder to Shoulder Pearl Bib Necklace ,Pink,14 inch + 3,8,20.5,64.5,64.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE1055PNK2T.jpg
R3EME4209GLDGM,Jewelry,Earrings,Metal Statement Hoop Earrings,Gold,2 inch long,8,3.5,13.5,13.99,No Response,0.1,https://cdn.jropship.com/l/R3EME4209GLDGM.jpg
E5EESE3263LCTGD,Jewelry,Earrings,Crystal Statement Drop Earrings,Light Colorado Topaz,4 inch long,7,9,30,29.99,Crystal Statement Drop Earrings in EarringsLight Colorado Topaz,0.5,https://cdn.jropship.com/l/E5EESE3263LCTGD.jpg
C9EECQ36BLURD,Jewelry,Earrings,Pageant Statement Crystal Clip-on Earrings,Blue,3 1/4 inch long,7,5,18,17.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ36BLURD.jpg
