SKU,MainCategoryName,SubCategoryName,ItemName,ColorCode,Size,Stock,,,,Desc,Weight(lb),Img Url
C9SNPY043GLDGD,Jewelry,Necklace Sets,Multi-Strand Layered Pearl Necklace Set,Gold,17 inch + 3,11,6.75,23.25,22.99,,0.5,https://cdn.jropship.com/l/C9SNPY043GLDGD.jpg
C9EECQM002GLDGD,Jewelry,Earrings,Metal Hipnosis Clip-On Earrings,Gold,3 inch long,11,3.75,14.25,13.99,Metal Hipnosis Clip-On Earrings in EARRINGSGold,0.5,https://cdn.jropship.com/l/C9EECQM002GLDGD.jpg
G4SGNE2062ABBLUGD,Jewelry,Necklace Sets,Crystal Statement Bib Necklace Set,AB BLUE,13 inch + 4,11,18,57,56.99,Crystal Statement Bib Necklace Set in NECKLACE SETSAB BLUE,0.5,https://cdn.jropship.com/l/G4SGNE2062ABBLUGD.jpg
C9SNBY7851REDGD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,RED,16 inch + 3,11,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSRED,0.5,https://cdn.jropship.com/l/C9SNBY7851REDGD.jpg
C9SNBY7851GRNGD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,GREEN,16 inch + 3,11,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSGREEN,0.5,https://cdn.jropship.com/l/C9SNBY7851GRNGD.jpg
C9SNBY7851BLKRD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,BLACK,16 inch + 3,11,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSBLACK,0.5,https://cdn.jropship.com/l/C9SNBY7851BLKRD.jpg
S7BCB0454BRNBD,Jewelry,Bracelets,Statement Wood Beaded Fringe Stretch Bracelet,BROWN,Stretch,11,15,48,47.99,Statement Wood Beaded Fringe Stretch Bracelet in BRACELETSBROWN,0.5,https://cdn.jropship.com/l/S7BCB0454BRNBD.jpg
C9EECQ36REDRD,Jewelry,Earrings,Pageant Crystal Clip-on Earrings,Red,3 1/4 inch long,11,5,18,17.99,,0.1,https://cdn.jropship.com/l/C9EECQ36REDRD.jpg
C9EECQ150ABOGD,Jewelry,Earrings,Crystal Teardrop Clip-On Earrings,Aurora Borealis,3 3/4 inch long,11,7.5,25.5,25.99,,0.1,https://cdn.jropship.com/l/C9EECQ150ABOGD.jpg
C7SQNE10551DMTGD,Jewelry,Necklace Sets,Multi-Strand Layered Pearl Necklace Set,Dark Multi,17 inch + 3,10,6.75,23.25,22.99,,0.5,https://cdn.jropship.com/l/C7SQNE10551DMTGD.jpg
F4SJN4010BLKGD,Jewelry,Necklace Sets,Statement Multi-Strand Crystal Beaded Necklace Set,Black,23 inch + 3,10,30,93,92.99,,0.5,https://cdn.jropship.com/l/F4SJN4010BLKGD.jpg
C9E236PURRD,Jewelry,Earrings,Statement Oval Rhinestone Post Earring,Purple,2 1/2 inch long,10,5.25,18.75,18.99,,0.1,https://cdn.jropship.com/l/C9E236PURRD.jpg
S7SCN2059MLTGD,Jewelry,Necklace Sets,Glam Statement Bib Necklace set,Multi,12 inch + 4,9,32,99,98.99,,0.5,https://cdn.jropship.com/l/S7SCN2059MLTGD.jpg
C9EECQM002SILRD,Jewelry,Earrings,Metal Hipnosis Clip-On Earrings,SILVER,3 inch long,9,3.75,14.25,13.99,Metal Hipnosis Clip-On Earrings in EARRINGSSILVER,0.5,https://cdn.jropship.com/l/C9EECQM002SILRD.jpg
C9SNBY7851LCTRG,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,LIGHT COLORADO TOPAZ,16 inch + 3,9,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSLIGHT COLORADO TOPAZ,0.5,https://cdn.jropship.com/l/C9SNBY7851LCTRG.jpg
C9E236BLURD,Jewelry,Earrings,Statement Oval Rhinestone Post Earring,Blue,2 1/2 inch long,9,5.25,18.75,18.99,,0.1,https://cdn.jropship.com/l/C9E236BLURD.jpg
C9E992PURRD,Jewelry,Earrings,Over the Top Crystal Earrings,Purple,4 inch wide,9,7.5,25.5,25.99,,0.1,https://cdn.jropship.com/l/C9E992PURRD.jpg
L5EFE3421BRNGD,Jewelry,Earrings,Tear Drop Tortoise Drop Earrings,Brown,3 3/8 inch long,9,4.25,15.75,15.99,,0.1,https://cdn.jropship.com/l/L5EFE3421BRNGD.jpg
B1BAB8125GTRQRS,Jewelry,Bracelets,Wide Tortoise Cuff,Turquoise,2 1/4 inch wide,9,6.75,23.25,22.99,,0.4,https://cdn.jropship.com/l/B1BAB8125GTRQRS.jpg
U1EFER1723MLTGD,Jewelry,Earrings,Multi Color Beaded Fashion Earrings,MULTI,1 inch dia,9,3,12,11.99,Multi Color Beaded Fashion Earrings in EARRINGSMULTI,0.5,https://cdn.jropship.com/l/U1EFER1723MLTGD.jpg
U1EJCE226SILRD,Jewelry,Earrings,Metalic Thread Ball Earrings,SILVER,3 inch long,9,4.5,16.5,16.99,Metalic Thread Ball Earrings in EARRINGSSILVER,0.5,https://cdn.jropship.com/l/U1EJCE226SILRD.jpg
C9SNBY7851LCTRG,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,LIGHT COLORADO TOPAZ,16 inch + 3,9,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSLIGHT COLORADO TOPAZ,0.5,https://cdn.jropship.com/l/C9SNBY7851LCTRG.jpg
F4N00001MLTBD,Jewelry,Necklaces,Long Boho Lariat Necklace,Multi,52 inches,8,6,21,20.99,,0.4,https://cdn.jropship.com/l/F4N00001MLTBD.jpg
C9SNPY043OLVGD,Jewelry,Necklace Sets,Multi-Strand Layered Pearl Necklace Set,Olive,17 inch + 3,8,6.75,23.25,22.99,,0.5,https://cdn.jropship.com/l/C9SNPY043OLVGD.jpg
C7SQNE1055PNK2T,Jewelry,Necklace Sets,AKA Wide Shoulder to Shoulder Pearl Bib Necklace,Pink,14 inch + 3,8,20.5,64.5,64.99,,0.5,https://cdn.jropship.com/l/C7SQNE1055PNK2T.jpg
R3EME4209GLDGM,Jewelry,Earrings,Metal Statement Hoop Earrings,Gold,2 inch long,8,3.5,13.5,13.99,,0.1,https://cdn.jropship.com/l/R3EME4209GLDGM.jpg
E5EESE3263LCTGD,Jewelry,Earrings,Crystal Statement Drop Earrings,LIGHT COLORADO TOPAZ,4 inch long,7,9,30,29.99,Crystal Statement Drop Earrings in EARRINGSLIGHT COLORADO TOPAZ,0.5,https://cdn.jropship.com/l/E5EESE3263LCTGD.jpg
